imputation,synthesis,model,fold_id,balanced_accuracy,accuracy,f1_weighted
mice,ctgan,RF,9,0.3143262987012987,0.35714285714285715,0.33317338125615664
mice,ctgan,CatBoost,9,0.3424310064935065,0.38095238095238093,0.3641522865615541
mice,ctgan,Stacking,9,0.27384334415584416,0.35714285714285715,0.2571571009260059
mice,tvae,RF,0,0.31164338127653346,0.38095238095238093,0.317580045525636
mice,tvae,CatBoost,0,0.33179851046698877,0.3888888888888889,0.3455035998107936
mice,tvae,Stacking,0,0.27701494107744107,0.373015873015873,0.24521014199082392
mice,tvae,RF,1,0.2824675324675325,0.3412698412698413,0.2930560258291351
mice,tvae,CatBoost,1,0.2903814935064935,0.3412698412698413,0.3090461073318216
mice,tvae,Stacking,1,0.23792613636363635,0.31746031746031744,0.2124647838933553
mice,tvae,RF,2,0.27446910225442833,0.3412698412698413,0.2797047321343996
mice,tvae,CatBoost,2,0.32289608036890644,0.38095238095238093,0.335097751630976
mice,tvae,Stacking,2,0.24644886363636365,0.3412698412698413,0.19081617475191773
mice,tvae,RF,3,0.3356331168831168,0.3968253968253968,0.34404710800000093
mice,tvae,CatBoost,3,0.34750405844155846,0.3968253968253968,0.3610251299682761
mice,tvae,Stacking,3,0.27110389610389607,0.35714285714285715,0.2340753711250955
mice,tvae,RF,4,0.3286042032645293,0.38095238095238093,0.33859387544350833
mice,tvae,CatBoost,4,0.36438433245498464,0.40476190476190477,0.37842190102326984
mice,tvae,Stacking,4,0.2841961279461279,0.36507936507936506,0.27257276279832665
mice,tvae,RF,5,0.3298498376623376,0.3968253968253968,0.34926650659731645
mice,tvae,CatBoost,5,0.30387581168831174,0.36507936507936506,0.3198007371708431
mice,tvae,Stacking,5,0.2755681818181818,0.36507936507936506,0.24789662860570416
mice,tvae,RF,6,0.2931157132923437,0.3333333333333333,0.3049000160588982
mice,tvae,CatBoost,6,0.3080567907334212,0.3492063492063492,0.3224543188595476
mice,tvae,Stacking,6,0.28036707656272875,0.35714285714285715,0.24919932130558317
mice,tvae,RF,7,0.2929180194805195,0.373015873015873,0.28627219883413413
mice,tvae,CatBoost,7,0.28013392857142855,0.3492063492063492,0.288461520594971
mice,tvae,Stacking,7,0.2563920454545454,0.3492063492063492,0.21586570953659562
mice,tvae,RF,8,0.36284950958864004,0.3968253968253968,0.3824299737343216
mice,tvae,CatBoost,8,0.3347446384131167,0.373015873015873,0.35487343872437044
mice,tvae,Stacking,8,0.2594754153857415,0.3412698412698413,0.2370146191679574
mice,tvae,RF,9,0.328125,0.3888888888888889,0.34647787452903195
mice,tvae,CatBoost,9,0.33431412337662336,0.373015873015873,0.3524880577512157
mice,tvae,Stacking,9,0.2621753246753247,0.35714285714285715,0.20958796784680966
mice,adasyn,RF,0,0.3506384039672083,0.38095238095238093,0.36119521969599705
mice,adasyn,CatBoost,0,0.3702434215341824,0.3888888888888889,0.37702599911216694
mice,adasyn,Stacking,0,0.3245063863270385,0.38095238095238093,0.34009959539371304
mice,adasyn,RF,1,0.2961647727272727,0.2857142857142857,0.2757058723575563
mice,adasyn,CatBoost,1,0.31980519480519476,0.31746031746031744,0.3233414223389161
mice,adasyn,Stacking,1,0.2697849025974026,0.30158730158730157,0.2944104146292786
mice,adasyn,RF,2,0.37035778985507245,0.3888888888888889,0.3911037313141106
mice,adasyn,CatBoost,2,0.40332331466842336,0.4126984126984127,0.4170487948265726
mice,adasyn,Stacking,2,0.3351597954179476,0.38095238095238093,0.3628194996616049
mice,adasyn,RF,3,0.3763189935064935,0.42857142857142855,0.3935409565338045
mice,adasyn,CatBoost,3,0.3179788961038961,0.3492063492063492,0.33727308104177495
mice,adasyn,Stacking,3,0.3292410714285714,0.3888888888888889,0.31695360405370726
mice,adasyn,RF,4,0.3635768921095008,0.3492063492063492,0.34630463831935887
mice,adasyn,CatBoost,4,0.4053167545015371,0.40476190476190477,0.408474357722478
mice,adasyn,Stacking,4,0.36503280083443124,0.38095238095238093,0.3805045740880664
mice,adasyn,RF,5,0.39681412337662336,0.4126984126984127,0.41460317460317464
mice,adasyn,CatBoost,5,0.36333198051948057,0.373015873015873,0.37318943295954793
