lane,stage,fold,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,config_key,status,error,n_train,n_test,n_features,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,precision_macro,recall_weighted,recall_macro,roc_auc,pr_auc,sensitivity,specificity,ordinal_mae,adjacent_error_rate,distant_error_rate,recall_class_0,recall_class_1
strict,final_5x2,2,severity_binary,all,none,gain,none,balanced_rf,severity_binary|all|none|gain|none|balanced_rf,ok,,126,126,55,0.6064814814814814,0.6190476190476191,0.6168696168696168,0.6070686070686071,0.6159398496240602,0.6089473684210527,0.6190476190476191,0.6064814814814814,0.6824845679012346,0.7337828738149792,0.6944444444444444,0.5185185185185185,,,,0.5185185185185185,0.6944444444444444
strict,final_5x2,2,severity_binary,drop_gt50_missing,none,gain,none,catboost_balanced,severity_binary|drop_gt50_missing|none|gain|none|catboost_balanced,ok,,126,126,44,0.5902777777777778,0.6111111111111112,0.6028599933488527,0.5893581642833389,0.6040907817315775,0.5983468758755954,0.6111111111111112,0.5902777777777778,0.6486625514403292,0.7205160426642938,0.7361111111111112,0.4444444444444444,,,,0.4444444444444444,0.7361111111111112
strict,final_5x2,2,severity_binary,missing_indicators,none,raw,none,catboost_balanced,severity_binary|missing_indicators|none|raw|none|catboost_balanced,ok,,126,126,108,0.6365740740740742,0.6507936507936508,0.6475070028011205,0.6376470588235295,0.6472069597069597,0.6418269230769231,0.6507936507936508,0.6365740740740742,0.6700102880658435,0.7392757789307878,0.7361111111111112,0.5370370370370371,,,,0.5370370370370371,0.7361111111111112
strict,final_5x2,2,severity_binary,drop_gt50_missing,none,raw,none,catboost_balanced,severity_binary|drop_gt50_missing|none|raw|none|catboost_balanced,ok,,126,126,44,0.625,0.6428571428571429,0.6371275783040489,0.625668449197861,0.6380952380952382,0.6333333333333333,0.6428571428571429,0.625,0.6741255144032922,0.7522377015957238,0.75,0.5,,,,0.5,0.75
strict,final_5x2,2,severity_binary,all,none,gain,random_over,catboost_balanced,severity_binary|all|none|gain|random_over|catboost_balanced,ok,,142,126,55,0.6226851851851851,0.6428571428571429,0.6352795857285383,0.6228799467908215,0.6377936997158068,0.6336508826001681,0.6428571428571429,0.6226851851851851,0.6779835390946501,0.7316988618157123,0.7638888888888888,0.48148148148148145,,,,0.48148148148148145,0.7638888888888888
strict,final_5x2,2,severity_binary,all,none,gain,smote,rf_balanced,severity_binary|all|none|gain|smote|rf_balanced,ok,,142,126,55,0.6388888888888888,0.6587301587301587,0.6514893819183809,0.6396408380445626,0.6546451587079214,0.6513028859624544,0.6587301587301587,0.6388888888888888,0.6993312757201646,0.7465359074769369,0.7777777777777778,0.5,,,,0.5,0.7777777777777778
strict,final_5x2,2,severity_binary,all,none,mean,none,balanced_rf,severity_binary|all|none|mean|none|balanced_rf,ok,,126,126,55,0.6226851851851851,0.626984126984127,0.628056628056628,0.6216216216216216,0.6298354582107443,0.6212814645308924,0.626984126984127,0.6226851851851851,0.6579218106995884,0.7260223126676777,0.6527777777777778,0.5925925925925926,,,,0.5925925925925926,0.6527777777777778
strict,final_5x2,2,severity_binary,all,none,mean,none,easy_ensemble,severity_binary|all|none|mean|none|easy_ensemble,ok,,126,126,55,0.5532407407407407,0.5555555555555556,0.5575896262395118,0.551487414187643,0.5621212121212121,0.5522727272727272,0.5555555555555556,0.5532407407407407,0.5631430041152263,0.6500445401465679,0.5694444444444444,0.5370370370370371,,,,0.5370370370370371,0.5694444444444444
strict,final_5x2,2,severity_binary,all,none,mean,none,catboost_balanced,severity_binary|all|none|mean|none|catboost_balanced,ok,,126,126,55,0.6018518518518519,0.6111111111111112,0.6106348694811472,0.6020625201417982,0.6102352028948048,0.6023520289480486,0.6111111111111112,0.6018518518518519,0.6288580246913581,0.7104180781918594,0.6666666666666666,0.5370370370370371,,,,0.5370370370370371,0.6666666666666666
strict,final_5x2,2,severity_binary,all,none,mean,none,rf_balanced,severity_binary|all|none|mean|none|rf_balanced,ok,,126,126,55,0.5833333333333333,0.6031746031746031,0.5958123509143918,0.5825602968460111,0.5961355717453278,0.5898004434589801,0.6031746031746031,0.5833333333333333,0.6586934156378601,0.7194284310242587,0.7222222222222222,0.4444444444444444,,,,0.4444444444444444,0.7222222222222222
